RegistroANS;RazaoSocial;Trimestre;Ano;ValorDespesas
328375;NÃO INFORMADA;1;2025;7036092.45
327638;NÃO INFORMADA;1;2025;5166530.53
329355;NÃO INFORMADA;1;2025;11264514.44
331317;NÃO INFORMADA;1;2025;118873124.83
327328;NÃO INFORMADA;1;2025;289740
328294;NÃO INFORMADA;1;2025;46484067.07
330566;NÃO INFORMADA;1;2025;36366359.35
324477;NÃO INFORMADA;1;2025;93864608.24
326500;NÃO INFORMADA;1;2025;97917033.71
327417;NÃO INFORMADA;1;2025;69231710.45
330116;NÃO INFORMADA;1;2025;12079513.59
328537;NÃO INFORMADA;1;2025;38638420.44
353698;NÃO INFORMADA;1;2025;9317914.78
354031;NÃO INFORMADA;1;2025;151092416.62
352179;NÃO INFORMADA;1;2025;25504601.18
352519;NÃO INFORMADA;1;2025;9263776.41
354279;NÃO INFORMADA;1;2025;29997116.33
350371;NÃO INFORMADA;1;2025;70018166.45
351202;NÃO INFORMADA;1;2025;289620949.96
353353;NÃO INFORMADA;1;2025;135457082.48
354325;NÃO INFORMADA;1;2025;24986419.84
350249;NÃO INFORMADA;1;2025;79679230.33
352683;NÃO INFORMADA;1;2025;81732542.71
350494;NÃO INFORMADA;1;2025;19934402.99
351270;NÃO INFORMADA;1;2025;9308570.84
350699;NÃO INFORMADA;1;2025;25869335.46
304131;NÃO INFORMADA;1;2025;29325256.32
304395;NÃO INFORMADA;1;2025;33733920.68
305421;NÃO INFORMADA;1;2025;834787.73
006246;NÃO INFORMADA;1;2025;6337801719.63
301574;NÃO INFORMADA;1;2025;75265301.41
302147;NÃO INFORMADA;1;2025;1419225487.65
303976;NÃO INFORMADA;1;2025;437671083.41
304484;NÃO INFORMADA;1;2025;15032160.39
301060;NÃO INFORMADA;1;2025;23861283.41
302953;NÃO INFORMADA;1;2025;160215113.39
301744;NÃO INFORMADA;1;2025;34888224.69
303739;NÃO INFORMADA;1;2025;53643834.72
300713;NÃO INFORMADA;1;2025;48024640.56
304212;NÃO INFORMADA;1;2025;2335685.07
304883;NÃO INFORMADA;1;2025;63680830.09
304441;NÃO INFORMADA;1;2025;4338048.15
304531;NÃO INFORMADA;1;2025;2499803.11
302228;NÃO INFORMADA;1;2025;6930737.59
303356;NÃO INFORMADA;1;2025;236574462.01
304051;NÃO INFORMADA;1;2025;47162189.26
301124;NÃO INFORMADA;1;2025;14767221.82
311715;NÃO INFORMADA;1;2025;44199907.05
311944;NÃO INFORMADA;1;2025;9246173.63
312363;NÃO INFORMADA;1;2025;1761357928.32
306398;NÃO INFORMADA;1;2025;194070991.10
307319;NÃO INFORMADA;1;2025;71627556.91
311391;NÃO INFORMADA;1;2025;3556607.99
305626;NÃO INFORMADA;1;2025;7385719.38
309524;NÃO INFORMADA;1;2025;7307841.11
311057;NÃO INFORMADA;1;2025;8024546.83
312282;NÃO INFORMADA;1;2025;10874268.39
312592;NÃO INFORMADA;1;2025;36015046.71
307751;NÃO INFORMADA;1;2025;29929855.48
311359;NÃO INFORMADA;1;2025;27078902.75
309087;NÃO INFORMADA;1;2025;28184042.10
305928;NÃO INFORMADA;1;2025;1956092.57
306126;NÃO INFORMADA;1;2025;52209542.49
310247;NÃO INFORMADA;1;2025;69965029.75
311618;NÃO INFORMADA;1;2025;39611380.00
311961;NÃO INFORMADA;1;2025;30030615.91
343064;NÃO INFORMADA;1;2025;22202058.95
340782;NÃO INFORMADA;1;2025;192388798.03
342157;NÃO INFORMADA;1;2025;3598388.97
342955;NÃO INFORMADA;1;2025;915572.55
341941;NÃO INFORMADA;1;2025;5271040.37
342084;NÃO INFORMADA;1;2025;420395037.25
